similarity,user_based,k,RMSE,MAE,Precision,Recall,F1
cosine,True,5,1.0238329920173492,0.7871700260019164,0.6501760704281713,0.6707754055296796,0.6603151217055999
cosine,True,10,0.9944872731636893,0.763090090817022,0.65656262505002,0.6754833127445248,0.6658885919915384
cosine,True,20,0.9830542279809058,0.7549642801849801,0.6611004401760704,0.6790227575988573,0.6699417556288977
cosine,True,30,0.9812810681438543,0.7545000082463582,0.6641256502601041,0.6820816258329142,0.6729838878919463
cosine,True,50,0.9808469091175004,0.7557456460494139,0.6634533813525411,0.6814234878066732,0.6723183772221724
cosine,True,100,0.9819052449525336,0.757988816926037,0.6587474989995998,0.6801039234459382,0.669255379826213
cosine,True,150,0.9822838045496661,0.7585039279681137,0.6574029611844738,0.6800170342158076,0.668518810077395
pearson,True,5,1.0235599817970522,0.7937181585919801,0.6479911964785914,0.6690991393527609,0.658376027940893
pearson,True,10,0.9946701962591825,0.768293385947524,0.6552180872348939,0.6738135689844789,0.6643857364222985
pearson,True,20,0.9845684065328278,0.7595077229132494,0.660092036814726,0.6781983316489396,0.6690227003821583
pearson,True,30,0.9823541987536857,0.7577051563570121,0.6616046418567427,0.6791542471163559,0.6702645883974712
pearson,True,50,0.9816794243444311,0.7569598078946512,0.6621088435374151,0.6800680248816952,0.6709682815671777
pearson,True,100,0.9816653647717226,0.7570613144869226,0.6617727090836335,0.680139399474428,0.6708303622483234
pearson,True,150,0.9816891715788251,0.7571006006005785,0.662108843537415,0.6802929406988781,0.6710777317523527
pearson,False,5,0.9672894459028043,0.73637721722719,0.6441256502601042,0.6688564846240718,0.6562581571259122
pearson,False,10,0.9361409597075273,0.7110071752834038,0.65437775110044,0.6762238426828645,0.6651214600715036
pearson,False,20,0.9194862193035749,0.6980016871729794,0.6550500200080032,0.6785383634737452,0.6665873429539477
pearson,False,30,0.9127973614487462,0.692707326813557,0.65656262505002,0.6796672455877468,0.6679151854472773
pearson,False,50,0.9077870321997968,0.6890350243263207,0.6570668267306923,0.6799556295752576,0.6683153087451944
pearson,False,100,0.9042832172292765,0.6862834128879298,0.657234893957583,0.6795271942416029,0.6681951671001105
pearson,False,150,0.9035020181699333,0.6855569745934575,0.65656262505002,0.6792268131330785,0.6677024487356155
cosine,False,5,0.9700531216051375,0.7443379514335513,0.6411004401760704,0.6708467661325332,0.6556363777295083
cosine,False,10,0.9366546371726696,0.7159804153756315,0.6437895158063225,0.6704646447949679,0.656856370673888
cosine,False,20,0.919062433862973,0.701565967117803,0.6525290116046418,0.6790945394989577,0.665546788021458
cosine,False,30,0.9136015714678907,0.696416572409365,0.6535374149659865,0.6786363638609337,0.6658504498266571
cosine,False,50,0.9086446855109866,0.6928611001500787,0.6552180872348938,0.6795670517008072,0.6671704842598015
cosine,False,100,0.9041701622657815,0.6894817132984763,0.6550500200080033,0.6786802121556305,0.6666557836518141
cosine,False,150,0.9027752809011229,0.6883000896281724,0.6543777511004403,0.6780496476269228,0.6660034219835796
jaccard,True,5,1.0125949941855767,0.783477633310201,0.6480925703614779,0.6727109963960597,0.6601723522522661
jaccard,True,10,0.9857725457440536,0.7618185331162262,0.6546471922102174,0.6775804805891782,0.665916446821846
jaccard,True,20,0.9763110379225325,0.7543964498112422,0.661201814058957,0.6845391964220612,0.6726681507713653
jaccard,True,30,0.9745834135343519,0.7527343486563901,0.6598572762438308,0.6840099452123929,0.6717165686688253
jaccard,True,50,0.9739825442008213,0.7523483935755972,0.6593530745631585,0.6841043634438095,0.6715007153898518
jaccard,True,100,0.9741509665346485,0.7524577384955656,0.6596892090169402,0.6839735674873685,0.6716119395643465
jaccard,True,150,0.9742077311435059,0.7524323060233162,0.6595211417900493,0.6837643281664993,0.6714239683427272
msd,True,5,0.9666813590098302,0.7356375486073391,0.6597559023609444,0.67553279807399,0.6675511454901827
msd,True,10,0.949634231532724,0.7229589216108273,0.6605962384953982,0.6770708937759393,0.6687321155355661
msd,True,20,0.9499812594697892,0.7253744430870454,0.6627811124449781,0.6820751932124162,0.6722897508480936
msd,True,30,0.9530314563964251,0.7293949129433424,0.6639575830332133,0.6819134889085465,0.672815756832103
msd,True,50,0.9582568159527908,0.734762260010679,0.6649659863945578,0.683574454408762,0.6741418315631207
msd,True,100,0.9633609208215574,0.7401656607634967,0.6611004401760704,0.6815875441172822,0.6711876932027638
msd,True,150,0.9646883829710204,0.7415429138005677,0.6594197679071628,0.681031997062263,0.6700516544888763
msd,False,5,0.9549308407081125,0.7320911700324897,0.6387474989995998,0.6654878384707762,0.6518435442215782
msd,False,10,0.9228404743622167,0.7067890844518819,0.6446298519407763,0.6723839572813483,0.6582144663853345
msd,False,20,0.9062068308897296,0.6925026463208431,0.6538735494197679,0.6799342880640542,0.6666493235597569
msd,False,30,0.9005391228042113,0.6876212855333473,0.6560584233693477,0.6792671960492855,0.6674611184059086
msd,False,50,0.8964817545114572,0.6839883974758177,0.6543777511004402,0.6782999425080212,0.6661241395106047
msd,False,100,0.8950491001538183,0.6823544240874116,0.6545458183273309,0.6785112609537921,0.666313116591838
msd,False,150,0.8945739240394005,0.6818412945755067,0.6562264905962385,0.6785564413191314,0.6672046840145823
