similarity,user_based,k,RMSE,MAE,Precision,Recall,F1
cosine,True,5,1.0472641263634874,0.8093011047854143,0.6619323797895226,0.7959466844681483,0.7227799561054152
cosine,True,10,1.018941494208754,0.7873218399220189,0.6696246874818303,0.8024238389948669,0.7300341024775506
cosine,True,20,1.00634428505125,0.7776106463034105,0.6709067387638815,0.8037256611688053,0.7313347546415253
cosine,True,30,1.0049375221543397,0.7765354982125912,0.671273039130182,0.804500407667717,0.7318730863579971
cosine,True,50,1.004955776662359,0.7768138872244719,0.6705404383975813,0.8041214409111083,0.7312807784333589
cosine,True,100,1.0052062775548023,0.7772555200884658,0.6714561893133322,0.8047066099951694,0.7320672680760115
cosine,True,150,1.005171017951892,0.7772338087124516,0.6714561893133322,0.8047066099951694,0.7320672680760115
pearson,True,5,1.0570267881253907,0.8168222858483959,0.6630312808884238,0.7971760330952813,0.7239419242117494
pearson,True,10,1.0351964634117117,0.799382913116154,0.6659616838188266,0.7994518325502993,0.7266266928619423
pearson,True,20,1.0294988612626217,0.7937988339854385,0.6703572882144311,0.8021629734017922,0.7303611496190034
pearson,True,30,1.0287835411016408,0.7930252473447023,0.6687089365660793,0.8016261783847234,0.7291597457211174
pearson,True,50,1.0287255199545517,0.7929934060105551,0.6687089365660793,0.8014728044218257,0.7290962903285867
pearson,True,100,1.0287151357192053,0.7929827399478081,0.6687089365660793,0.8014728044218257,0.7290962903285867
pearson,True,150,1.0287151357192053,0.7929827399478081,0.6687089365660793,0.8014728044218257,0.7290962903285867
pearson,False,5,0.9882079895292729,0.7559225861469007,0.6659616838188266,0.7995341727809434,0.7266607020115313
pearson,False,10,0.9676372728190571,0.7371794548378078,0.6681594860166288,0.8010455968132164,0.7285929248375587
pearson,False,20,0.9582090354795983,0.7288541471562856,0.6690752369323797,0.8033739728318384,0.730100064101826
pearson,False,30,0.955738874476385,0.727150927971028,0.6707235885807313,0.8044294621786361,0.7315170657780592
pearson,False,50,0.9544547070189469,0.7259171815276076,0.6703572882144311,0.8042463982808398,0.731223500314362
pearson,False,100,0.9539985072631417,0.7254037913447525,0.6714561893133322,0.8047293977484331,0.7320766976408193
pearson,False,150,0.953959475190895,0.7253777582586628,0.671273039130182,0.8046824361630099,0.7319484002056657
cosine,False,5,0.9814512918018576,0.7531615451672825,0.661199779056922,0.7964723605112064,0.7225593938441895
cosine,False,10,0.9539132158802653,0.7319774475153963,0.6666942845514274,0.799808731610611,0.7272101103407521
cosine,False,20,0.9401260164709258,0.7213451156567395,0.665229083086226,0.7980756004246591,0.7256220879853911
cosine,False,30,0.9338217995022347,0.7157082825233488,0.6685257863829291,0.8024019863157527,0.7293715284371741
cosine,False,50,0.9299842373952195,0.7117916097369854,0.6698078376649805,0.8020277183080141,0.7299789022859096
cosine,False,100,0.9275005944192749,0.709797012341734,0.6718224896796324,0.804533363718954,0.7322131804466411
cosine,False,150,0.9268150953905586,0.7090853290115788,0.6707235885807314,0.80396437995908,0.731324708034572
jaccard,True,5,1.0242382373492946,0.79328362289264,0.665771979148363,0.8063669617316295,0.7293557871799865
jaccard,True,10,1.0058541547495663,0.7770216618750214,0.6681705031336027,0.8083820204688443,0.7316191096582416
jaccard,True,20,0.9981559329325481,0.7711998877055902,0.6694620160487319,0.8088242218731887,0.7325740851994202
jaccard,True,30,0.9968981030539735,0.7704685985716413,0.6702000234288058,0.8098459567514544,0.7334350235827726
jaccard,True,50,0.996973209179975,0.7706203217172042,0.6700155215837873,0.810233524239528,0.733483380894292
jaccard,True,100,0.9970274464186302,0.7705900070375286,0.6694620160487319,0.8095622889557466,0.7328766677430619
jaccard,True,150,0.9970301581372233,0.7705926721390776,0.6694620160487319,0.8095622889557466,0.7328766677430619
msd,True,5,1.0163891993368104,0.7782008805646643,0.666327984185127,0.799280904533667,0.7267740227492163
msd,True,10,0.9950698615269784,0.763544321230298,0.6709067387638815,0.8030006020373268,0.7310344418875626
msd,True,20,0.9912957198251975,0.7619729511468983,0.6707235885807314,0.8021703520250698,0.7305815610077531
msd,True,30,0.99198443199975,0.7628704184632082,0.6718224896796324,0.8041815456189936,0.7320674404834673
msd,True,50,0.9932414408468829,0.7645360410706608,0.6716393394964824,0.8035354819094249,0.7316909596074708
msd,True,100,0.994097115870742,0.7655936427266586,0.6725550904122333,0.8039837371965303,0.7324200961729839
msd,True,150,0.9941181660144531,0.7656142553927309,0.6723719402290831,0.8039704654441281,0.7323059740887806
msd,False,5,0.9702044493654198,0.7462979864396204,0.6571704750276179,0.7903544284027078,0.717635453348992
msd,False,10,0.940857530520647,0.7220617783506907,0.6641301819873249,0.7957392761711998,0.7240023652041564
msd,False,20,0.9297773177488461,0.7117783195666805,0.66925838711553,0.8004114748240596,0.728982891385619
msd,False,30,0.9260784268393105,0.7089351412052683,0.6699909878481306,0.8031693113718615,0.7305602799916041
msd,False,50,0.9234997074273003,0.7065702568967999,0.6694415372986802,0.802144662260705,0.7298097196080249
msd,False,100,0.9224992408858426,0.70546801441974,0.6718224896796324,0.8035832064071534,0.7318194200077698
msd,False,150,0.922559960420891,0.7054643357272358,0.6709067387638815,0.8031754749233775,0.7311068996458272
